T_ID,Departuretraine,Departure_Time,Traine_Duration_Minutes,train_Status,Distance_Miles,Travel_Purpose,Seat_Class,train_Satisfaction_Score,Delay_Minutes,No_Show,Weather_Impact
F186,NDLS–LKO AC SF Express  ,07-06-2023 20:34,115,On-time,1622,Family,Premium Economy,6.5,14,0,1
F699,Anand Vihar–Kamakhya Express  ,01-09-2024 11:27,146,On-time,1435,Family,Economy,7.8,0,0,0
F215,Katihar–Amritsar Express  ,1/30/2024 2:16,218,On-time,2558,Family,Economy,9.1,7,0,0
F1221,Ranikhet Express  ,8/18/2023 11:53,262,Cancelled,1198,Emergency,Economy,5.8,8,0,0
F117,Purushottam Express  ,8/14/2023 12:46,187,On-time,986,Leisure,Economy,6.5,16,0,0
F807,Brahmaputra Mail  ,6/25/2024 8:10,291,On-time,1030,Leisure,Economy,7.7,3,0,0
F657,Kalindi Express  ,10/16/2024 9:50,92,On-time,1231,Emergency,Economy,4.2,0,0,0
F1353,Farakka Express,11/15/2023 21:25,182,Delayed,938,Family,Economy,9.4,13,0,0
F1179,Sushasan Express  ,11/14/2023 6:00,92,On-time,1458,Business,Economy,8.5,0,0,1
F1036,NDLS–LKO AC SF Express  ,4/18/2025 1:08,179,On-time,925,Leisure,Economy,6.7,28,0,0
F229,Anand Vihar–Kamakhya Express  ,12/13/2023 6:55,218,On-time,1241,Emergency,Business,7.3,14,0,0
F1553,Katihar–Amritsar Express  ,3/31/2024 8:11,158,On-time,1134,Leisure,Economy,8,8,0,0
F1759,Ranikhet Express  ,8/28/2023 2:18,165,On-time,1479,Leisure,Economy,8.5,9,0,0
F726,Purushottam Express  ,1/20/2025 5:45,89,Cancelled,1096,Business,Premium Economy,6.2,1,0,0
F121,Brahmaputra Mail  ,1/16/2025 0:19,261,Delayed,1301,Family,Economy,9.1,6,0,0
F1441,Sushasan Express  ,06-05-2023 23:34,145,On-time,1441,Family,Premium Economy,8.4,26,0,0
F1698,NDLS–LKO AC SF Express  ,5/23/2023 17:58,268,On-time,1286,Emergency,Economy,4.9,11,0,0
F362,Anand Vihar–Kamakhya Express  ,11-12-2023 21:50,186,On-time,1212,Business,Economy,8.5,13,0,0
F1577,Katihar–Amritsar Express  ,02-09-2025 16:35,193,On-time,1204,Leisure,Premium Economy,8,8,0,0
F670,Ranikhet Express  ,02-07-2024 02:13,29,On-time,703,Family,Premium Economy,8.5,2,0,1
F1540,Purushottam Express  ,10-11-2023 12:39,173,On-time,1071,Business,Business,5.6,5,0,1
F1222,Brahmaputra Mail  ,5/16/2024 12:49,59,Delayed,898,Emergency,Economy,3,18,0,1
F1537,Kalindi Express  ,11/18/2024 12:59,77,On-time,1149,Family,Economy,5.2,15,0,0
F1982,Farakka Express,6/28/2023 10:28,115,On-time,1188,Leisure,Economy,6.8,12,0,0
F1995,Sushasan Express  ,09-10-2024 08:04,261,On-time,1143,Leisure,Economy,9.3,3,0,0
F571,NDLS–LKO AC SF Express  ,01-12-2024 19:55,157,On-time,974,Family,Economy,6.1,2,0,0
F1972,Anand Vihar–Kamakhya Express  ,02-01-2025 03:06,233,On-time,1440,Emergency,Premium Economy,10,8,0,0
F959,Katihar–Amritsar Express  ,10-01-2023 19:16,180,Delayed,1101,Leisure,Premium Economy,8,51,0,0
F237,Ranikhet Express  ,04-10-2025 04:15,216,On-time,803,Family,Economy,6.7,5,0,0
F1,Purushottam Express  ,2/17/2024 13:14,168,On-time,1388,Emergency,Premium Economy,6.1,56,1,0
F444,Brahmaputra Mail  ,11/13/2023 3:11,275,On-time,1242,Business,Premium Economy,9,1,0,0
F1874,Sushasan Express  ,07-12-2023 07:10,181,On-time,1097,Business,Premium Economy,7.7,4,0,0
F109,NDLS–LKO AC SF Express  ,2/19/2024 18:47,148,On-time,1452,Business,Economy,8.3,22,0,0
F530,Anand Vihar–Kamakhya Express  ,12-01-2024 02:09,93,Delayed,1698,Business,Economy,8.7,2,0,0
F1668,Katihar–Amritsar Express  ,06-01-2023 07:19,147,On-time,1589,Business,Premium Economy,5.6,6,0,0
F751,Ranikhet Express  ,10-02-2023 13:56,98,On-time,1058,Leisure,Premium Economy,7.3,9,0,0
F1731,Purushottam Express  ,9/30/2023 21:20,274,Delayed,1483,Family,Economy,5.2,5,0,1
F1956,Brahmaputra Mail  ,12/19/2023 5:14,182,Delayed,1298,Emergency,Economy,6.4,8,0,0
F899,Kalindi Express  ,09-09-2023 10:02,229,On-time,595,Leisure,Economy,7,19,0,0
F1648,Farakka Express,4/14/2024 18:13,205,On-time,1572,Leisure,Economy,7.5,11,0,0
F771,Sushasan Express  ,11/13/2024 20:10,282,On-time,1074,Family,Economy,4.4,7,0,0
F826,NDLS–LKO AC SF Express  ,04-11-2024 04:24,230,On-time,1585,Business,Premium Economy,6.9,3,0,0
F1892,Anand Vihar–Kamakhya Express  ,8/26/2023 15:03,174,On-time,1263,Business,Premium Economy,9,0,0,0
F1831,Katihar–Amritsar Express  ,05-06-2023 20:07,198,On-time,1022,Family,Premium Economy,6.4,10,0,0
F1272,Ranikhet Express  ,3/14/2025 20:19,176,On-time,859,Emergency,Economy,7.6,8,0,0
F1993,Purushottam Express  ,05-06-2024 07:46,173,On-time,950,Leisure,Economy,6.8,11,0,0
F1742,Brahmaputra Mail  ,12/20/2023 12:20,153,On-time,1061,Business,Economy,6.5,3,0,1
F1367,Sushasan Express  ,6/25/2024 4:17,167,On-time,1178,Emergency,Business,7.4,24,0,0
F740,NDLS–LKO AC SF Express  ,04-12-2024 04:12,201,On-time,1042,Leisure,Premium Economy,6.5,22,0,1
F36,Anand Vihar–Kamakhya Express  ,12-01-2024 06:57,193,On-time,1434,Family,Economy,7.8,4,0,0
F1141,Katihar–Amritsar Express  ,3/18/2024 3:44,256,On-time,895,Emergency,Premium Economy,8.6,7,0,1
F582,Ranikhet Express  ,9/23/2024 20:10,227,On-time,1566,Leisure,Economy,7.6,8,0,0
F660,Purushottam Express  ,11-01-2024 18:01,172,On-time,749,Family,Economy,5.9,4,0,0
F832,Brahmaputra Mail  ,1/30/2025 14:45,243,On-time,611,Emergency,Economy,7.5,16,0,0
F1776,Kalindi Express  ,11/24/2023 2:48,175,Delayed,1262,Business,Economy,8.2,23,1,0
F495,Farakka Express,6/21/2023 13:52,145,Delayed,1093,Family,Economy,4.9,5,0,0
F405,Sushasan Express  ,8/23/2024 2:59,200,On-time,1180,Business,Economy,5.1,0,0,0
F60,NDLS–LKO AC SF Express  ,06-10-2024 10:46,160,Cancelled,1101,Emergency,Economy,3,4,0,1
F1659,Anand Vihar–Kamakhya Express  ,12/17/2023 10:50,121,On-time,836,Business,Economy,7.6,1,0,0
F589,Katihar–Amritsar Express  ,3/18/2024 22:45,197,On-time,999,Leisure,Premium Economy,8.5,32,0,0
F116,Ranikhet Express  ,10-01-2023 13:07,249,On-time,1468,Business,Economy,6.3,4,0,0
F159,Purushottam Express  ,05-12-2024 05:39,250,Delayed,1436,Leisure,Economy,4.1,2,0,0
F1291,Brahmaputra Mail  ,05-04-2023 14:50,254,On-time,1216,Emergency,Business,5.9,7,0,0
F1829,Sushasan Express  ,10-11-2023 22:09,111,Delayed,921,Emergency,Economy,7.5,23,0,0
F561,NDLS–LKO AC SF Express  ,11-07-2024 22:46,158,Cancelled,1275,Family,Economy,8,15,0,0
F1104,Anand Vihar–Kamakhya Express  ,3/24/2025 7:35,209,Delayed,1142,Leisure,Business,7.1,5,0,1
F619,Katihar–Amritsar Express  ,07-06-2023 05:31,131,On-time,1361,Emergency,Economy,7.2,47,0,0
F146,Ranikhet Express  ,5/15/2023 1:27,221,On-time,889,Business,Economy,6,10,0,0
F1655,Purushottam Express  ,08-02-2024 17:46,215,On-time,1439,Emergency,First,8.3,22,0,0
F542,Brahmaputra Mail  ,9/17/2023 7:54,194,On-time,877,Leisure,Economy,6.5,1,0,0
F121,Kalindi Express  ,9/29/2023 1:35,125,Delayed,666,Leisure,Economy,5.9,28,0,1
F1320,Farakka Express,04-03-2024 17:13,244,On-time,1305,Emergency,First,4.9,1,0,0
F866,Sushasan Express  ,11-10-2024 04:44,205,On-time,1827,Leisure,Economy,5.5,5,0,0
F292,NDLS–LKO AC SF Express  ,04-04-2025 15:26,161,On-time,1390,Emergency,Economy,6.7,1,0,0
F1328,Anand Vihar–Kamakhya Express  ,2/22/2024 20:02,104,On-time,901,Family,Economy,5.7,4,0,0
F910,Katihar–Amritsar Express  ,7/27/2024 12:19,157,Delayed,1073,Leisure,Economy,6.6,1,0,0
F15,Ranikhet Express  ,10/27/2023 12:24,202,On-time,1303,Emergency,Economy,7.8,15,0,0
F249,Purushottam Express  ,09-09-2023 23:52,131,On-time,1592,Family,Economy,9.7,1,1,0
F967,Brahmaputra Mail  ,10-12-2024 21:37,105,On-time,1518,Business,Premium Economy,5.9,10,0,1
F894,Sushasan Express  ,03-08-2024 01:25,242,On-time,950,Family,Business,8.3,3,0,0
F1596,NDLS–LKO AC SF Express  ,3/14/2025 14:00,133,Cancelled,925,Emergency,Economy,9.5,7,0,0
F1029,Anand Vihar–Kamakhya Express  ,4/26/2024 2:25,261,On-time,1094,Business,Premium Economy,7.6,6,0,0
F590,Katihar–Amritsar Express  ,07-07-2024 02:14,146,On-time,1255,Business,Business,7.2,5,0,0
F1014,Ranikhet Express  ,5/26/2023 10:35,156,On-time,1107,Emergency,Economy,7.6,3,1,0
F472,Purushottam Express  ,11/16/2023 3:31,145,Delayed,979,Leisure,Economy,7.4,0,1,0
F1697,Brahmaputra Mail  ,12-07-2023 12:28,204,Delayed,985,Leisure,Economy,5.6,9,0,0
F1043,Kalindi Express  ,12/28/2023 10:40,155,On-time,832,Family,Economy,8.2,2,0,1
F1965,Farakka Express,11/26/2024 21:32,237,On-time,1775,Emergency,Economy,6.8,6,0,1
F1475,Sushasan Express  ,4/29/2024 5:54,140,On-time,1306,Leisure,Premium Economy,7.6,6,0,0
F1349,NDLS–LKO AC SF Express  ,7/31/2023 1:34,117,On-time,1450,Family,Premium Economy,8.8,3,0,0
F539,Anand Vihar–Kamakhya Express  ,10/27/2024 11:28,252,On-time,1480,Family,Economy,6,1,0,0
F1332,Katihar–Amritsar Express  ,12-05-2023 10:17,208,Cancelled,1130,Leisure,Economy,4.8,12,0,0
F940,Ranikhet Express  ,6/22/2024 4:31,264,Delayed,1103,Family,Economy,8.8,5,0,0
F913,Purushottam Express  ,04-11-2025 17:28,94,On-time,1395,Leisure,Economy,7.1,22,0,0
F1539,Brahmaputra Mail  ,2/16/2024 15:15,200,On-time,1294,Emergency,Business,5.7,7,0,0
F1437,Sushasan Express  ,7/19/2023 21:38,164,On-time,1125,Emergency,Economy,5.9,0,0,0
F345,NDLS–LKO AC SF Express  ,04-03-2024 23:05,189,On-time,837,Emergency,Business,9,11,0,0
F349,Anand Vihar–Kamakhya Express  ,05-11-2023 17:08,191,On-time,1288,Business,Economy,7.5,6,0,1
F747,Katihar–Amritsar Express  ,07-08-2023 15:21,255,On-time,1044,Family,Economy,7.5,1,0,0
F1572,Ranikhet Express  ,12/26/2024 0:15,132,On-time,935,Leisure,Premium Economy,8.5,13,0,0
F33,Purushottam Express  ,7/19/2024 18:07,168,On-time,1251,Family,Economy,5,8,0,1
F1202,Brahmaputra Mail  ,1/28/2024 10:20,143,On-time,1496,Family,Economy,6.7,27,0,0
F1104,Kalindi Express  ,12/27/2024 6:16,217,On-time,839,Leisure,Premium Economy,7.2,15,0,0
F1672,Farakka Express,04-11-2025 15:06,188,On-time,1352,Leisure,Economy,8.7,12,0,0
F36,Sushasan Express  ,10/19/2024 15:45,286,On-time,1903,Leisure,Economy,7.1,3,0,0
F101,NDLS–LKO AC SF Express  ,5/21/2023 20:12,152,On-time,1072,Emergency,Business,9.1,19,0,0
F1632,Anand Vihar–Kamakhya Express  ,12-09-2023 20:31,172,On-time,1369,Business,Business,6.4,37,0,0
F367,Katihar–Amritsar Express  ,6/28/2023 15:51,252,On-time,615,Leisure,Premium Economy,8.1,3,1,0
F467,Ranikhet Express  ,05-12-2024 00:28,145,Delayed,1025,Leisure,Premium Economy,6.5,18,0,0
F1873,Purushottam Express  ,11-04-2024 05:44,181,On-time,1249,Leisure,Economy,5.5,6,0,0
F1775,Brahmaputra Mail  ,7/19/2024 14:07,204,On-time,1568,Leisure,Economy,10,4,0,0
F1924,Sushasan Express  ,06-06-2024 13:14,319,On-time,1294,Family,Economy,5.6,3,0,0
F1557,NDLS–LKO AC SF Express  ,10-03-2023 09:15,225,On-time,1136,Emergency,Premium Economy,6.1,13,0,1
F1675,Anand Vihar–Kamakhya Express  ,11-12-2023 11:19,203,On-time,1780,Family,Economy,4.6,7,0,1
F1414,Katihar–Amritsar Express  ,2/26/2024 8:20,181,Cancelled,725,Emergency,Business,3.1,19,0,0
F56,Ranikhet Express  ,06-06-2024 18:03,172,On-time,1488,Business,Business,8.8,11,0,0
F437,Purushottam Express  ,9/22/2023 2:27,283,On-time,1529,Family,Economy,6,7,0,1
F782,Brahmaputra Mail  ,12-04-2024 11:48,178,On-time,1387,Family,Economy,4.4,1,0,0
F1880,Kalindi Express  ,2/22/2024 13:48,197,On-time,1491,Business,Economy,7.3,5,0,0
F1236,Farakka Express,07-05-2024 00:20,160,On-time,1302,Emergency,Economy,7.6,3,0,0
F1015,Sushasan Express  ,6/13/2024 7:10,132,On-time,968,Business,Premium Economy,8.2,13,0,0
F1695,NDLS–LKO AC SF Express  ,4/20/2024 21:25,205,On-time,1029,Leisure,Economy,8,0,0,0
F1166,Anand Vihar–Kamakhya Express  ,3/17/2025 12:41,223,Delayed,1326,Leisure,Economy,8.2,12,0,0
F1027,Katihar–Amritsar Express  ,4/15/2025 21:43,169,On-time,777,Leisure,Business,3.5,4,0,0
F43,Ranikhet Express  ,5/15/2024 8:06,167,On-time,1222,Emergency,Premium Economy,8.1,1,0,0
F1017,Purushottam Express  ,5/30/2024 14:31,127,On-time,1027,Family,Economy,4.7,16,0,0
F1990,Brahmaputra Mail  ,9/21/2023 9:17,224,Delayed,1126,Emergency,Premium Economy,6.1,5,0,0
F1336,Sushasan Express  ,09-04-2024 11:42,442,On-time,1470,Emergency,Economy,10,17,0,0
F1555,NDLS–LKO AC SF Express  ,1/31/2025 0:06,38,On-time,907,Family,Economy,6.7,14,0,0
F807,Anand Vihar–Kamakhya Express  ,4/19/2025 8:23,219,On-time,1572,Business,Economy,7.2,22,0,0
F1492,Katihar–Amritsar Express  ,05-01-2024 05:49,228,On-time,812,Leisure,Premium Economy,5.1,1,0,0
F711,Ranikhet Express  ,9/17/2023 21:47,154,On-time,1562,Business,Premium Economy,8.6,0,0,1
F506,Purushottam Express  ,10/28/2023 3:30,266,Delayed,1076,Leisure,Economy,7.1,3,0,0
F295,Brahmaputra Mail  ,11/15/2023 4:47,192,Delayed,897,Emergency,Premium Economy,5.2,2,0,0
F1817,Kalindi Express  ,08-06-2023 20:00,146,On-time,1142,Business,Economy,7.5,2,0,0
F689,Farakka Express,03-11-2024 03:28,252,On-time,1434,Leisure,Economy,7.7,1,0,0
F107,Sushasan Express  ,11-01-2023 18:48,170,On-time,1597,Leisure,Economy,5.9,5,0,1
F1311,NDLS–LKO AC SF Express  ,06-06-2024 11:05,201,On-time,734,Emergency,Economy,5.6,8,0,0
F596,Anand Vihar–Kamakhya Express  ,05-04-2023 10:04,208,On-time,754,Family,Economy,6.6,10,0,0
F633,Katihar–Amritsar Express  ,10/25/2023 12:58,171,Cancelled,1144,Emergency,Premium Economy,8.1,8,0,0
F1834,Ranikhet Express  ,12/13/2023 6:42,211,Cancelled,1127,Leisure,Business,5,7,0,0
F741,Purushottam Express  ,1/14/2025 22:13,124,Delayed,1497,Leisure,Economy,6.5,2,0,0
F366,Brahmaputra Mail  ,7/19/2024 22:41,270,Delayed,1538,Family,Premium Economy,7.5,4,0,0
F521,Sushasan Express  ,9/21/2024 17:44,224,On-time,966,Emergency,Economy,8.5,9,0,1
F282,NDLS–LKO AC SF Express  ,10-02-2024 23:58,169,Delayed,1395,Business,Premium Economy,3.4,20,0,0
F154,Anand Vihar–Kamakhya Express  ,07-08-2023 17:03,29,On-time,1013,Leisure,Economy,9.5,6,0,1
F1047,Katihar–Amritsar Express  ,7/14/2024 14:59,255,On-time,1494,Emergency,Premium Economy,6.8,27,0,0
F90,Ranikhet Express  ,11/22/2024 0:14,179,On-time,1351,Emergency,Business,8.6,6,0,0
F662,Purushottam Express  ,8/28/2023 22:01,190,Delayed,1198,Leisure,Premium Economy,7.9,7,0,0
F943,Brahmaputra Mail  ,4/26/2023 2:26,151,On-time,1629,Family,Premium Economy,4.5,1,0,0
F1311,Kalindi Express  ,04-12-2025 11:46,34,Delayed,1682,Emergency,Economy,9.1,14,0,0
F586,Farakka Express,04-06-2024 15:54,171,Delayed,716,Business,Economy,9,4,0,0
F1882,Sushasan Express  ,6/16/2023 6:17,201,On-time,1688,Family,Premium Economy,7.2,6,0,0
F1408,NDLS–LKO AC SF Express  ,06-07-2024 09:49,163,On-time,1063,Business,Business,7.8,5,0,0
F416,Anand Vihar–Kamakhya Express  ,11/19/2023 12:52,177,Cancelled,1191,Emergency,Business,8,6,0,1
F1073,Katihar–Amritsar Express  ,11-04-2024 00:51,185,On-time,878,Emergency,Business,6.6,25,0,0
F1958,Ranikhet Express  ,05-09-2023 07:14,183,On-time,808,Leisure,Business,7,16,0,0
F1774,Purushottam Express  ,01-04-2024 00:15,181,Cancelled,1206,Family,Economy,6.6,1,0,0
F420,Brahmaputra Mail  ,6/13/2024 1:35,342,On-time,1227,Emergency,Business,8.6,15,0,0
F744,Sushasan Express  ,10/15/2024 18:08,116,On-time,2045,Emergency,Economy,4.2,12,0,0
F284,NDLS–LKO AC SF Express  ,8/25/2023 17:27,92,On-time,1537,Business,Economy,6.3,2,0,0
F175,Anand Vihar–Kamakhya Express  ,2/28/2025 5:02,61,On-time,1504,Leisure,Economy,6,9,0,1
F1856,Katihar–Amritsar Express  ,9/21/2023 23:49,163,On-time,898,Leisure,Business,7.4,2,0,0
F228,Ranikhet Express  ,03-10-2024 08:11,108,Delayed,1374,Leisure,Economy,8.1,18,0,0
F1550,Purushottam Express  ,2/27/2025 1:24,254,On-time,1292,Leisure,Business,7,47,0,0
F931,Brahmaputra Mail  ,03-01-2024 00:12,115,On-time,1069,Emergency,Business,6.6,0,1,0
F1658,Kalindi Express  ,4/27/2023 21:41,150,On-time,750,Leisure,Economy,6.3,56,0,0
F551,Farakka Express,03-05-2024 21:33,262,On-time,2087,Business,Business,6.7,17,0,1
F1278,Sushasan Express  ,4/21/2024 0:34,113,Delayed,893,Family,Business,5.9,6,0,0
F1650,NDLS–LKO AC SF Express  ,3/16/2025 11:09,241,On-time,659,Family,Economy,6.4,5,0,0
F1884,Anand Vihar–Kamakhya Express  ,1/15/2025 20:23,160,On-time,992,Leisure,First,8.2,11,0,0
F620,Katihar–Amritsar Express  ,12-09-2024 23:40,142,On-time,928,Family,Economy,6.4,10,0,0
F1480,Ranikhet Express  ,1/26/2025 22:48,74,On-time,1395,Emergency,Premium Economy,5.2,7,0,0
F729,Purushottam Express  ,12-03-2024 03:01,162,On-time,1881,Family,Premium Economy,7.1,17,0,1
F1765,Brahmaputra Mail  ,7/27/2023 6:57,155,On-time,1362,Family,Business,7.3,14,0,0
F1043,Sushasan Express  ,09-09-2023 08:51,76,On-time,2101,Emergency,Business,8.7,3,0,0
F89,NDLS–LKO AC SF Express  ,1/19/2025 16:04,177,Delayed,571,Business,Premium Economy,7.6,15,0,1
F1140,Anand Vihar–Kamakhya Express  ,07-08-2024 06:03,250,On-time,1537,Family,Economy,6.6,31,0,0
F434,Katihar–Amritsar Express  ,11/26/2024 6:59,140,On-time,892,Emergency,First,7.6,8,0,1
F1773,Ranikhet Express  ,9/24/2023 19:08,168,On-time,1137,Family,Economy,7.6,7,0,1
F1443,Purushottam Express  ,2/14/2024 20:17,118,On-time,940,Family,Economy,8.5,8,0,0
F1522,Brahmaputra Mail  ,7/31/2024 18:09,59,On-time,1020,Business,Economy,5.3,24,0,0
F923,Kalindi Express  ,9/27/2023 3:56,118,On-time,1179,Business,Economy,6.2,8,0,0
F1088,Farakka Express,10-07-2024 02:05,101,On-time,1046,Business,Economy,7,2,0,0
F1848,Sushasan Express  ,11/25/2024 14:38,255,On-time,796,Emergency,Business,7.4,8,0,0
F501,NDLS–LKO AC SF Express  ,07-10-2024 14:10,296,On-time,1285,Family,Economy,6.2,10,0,0
F1823,Anand Vihar–Kamakhya Express  ,7/23/2024 9:59,182,On-time,866,Family,First,9.1,4,0,0
F1175,Katihar–Amritsar Express  ,5/30/2024 13:35,266,On-time,1115,Emergency,Economy,4.9,3,0,0
F96,Ranikhet Express  ,4/17/2024 18:12,248,On-time,1192,Business,Economy,6.8,9,0,0
F136,Purushottam Express  ,4/26/2024 15:14,112,Cancelled,1024,Family,Economy,6.2,18,0,0
F1947,Brahmaputra Mail  ,05-09-2024 17:03,212,On-time,898,Family,Economy,8.9,4,0,0
F1186,Sushasan Express  ,11-02-2024 01:50,158,On-time,1534,Family,Premium Economy,7.8,18,0,1
F1294,NDLS–LKO AC SF Express  ,11/21/2024 3:44,107,Delayed,390,Leisure,Economy,8.2,32,0,0
F545,Anand Vihar–Kamakhya Express  ,03-08-2025 15:43,226,On-time,806,Leisure,Economy,5.1,27,0,0
F1962,Katihar–Amritsar Express  ,11/21/2023 20:57,108,On-time,1068,Leisure,Economy,8.4,7,0,1
F1795,Ranikhet Express  ,06-08-2023 10:55,179,On-time,1277,Family,Premium Economy,6.2,7,0,0
F1872,Purushottam Express  ,8/24/2023 15:25,143,On-time,1505,Business,Premium Economy,4.8,11,0,0
F564,Brahmaputra Mail  ,09-05-2023 22:11,190,On-time,1030,Family,Business,6.6,7,0,0
F1238,Kalindi Express  ,06-03-2023 14:45,232,On-time,935,Emergency,First,7.2,1,0,1
F594,Farakka Express,10-11-2023 14:27,263,On-time,1374,Business,Economy,4.8,16,0,1
F255,Sushasan Express  ,04-06-2025 17:42,37,On-time,1125,Emergency,Economy,7.1,5,0,1
F1260,NDLS–LKO AC SF Express  ,8/25/2023 16:52,200,On-time,1377,Leisure,Premium Economy,4.3,12,0,0
F664,Anand Vihar–Kamakhya Express  ,05-07-2023 15:54,183,Cancelled,1300,Business,Economy,7.6,13,0,1
F455,Katihar–Amritsar Express  ,3/19/2025 12:24,229,On-time,905,Business,Economy,5.7,1,0,0
F1783,Ranikhet Express  ,10/19/2023 0:49,138,On-time,962,Leisure,Economy,7.6,0,0,0
F1032,Purushottam Express  ,2/16/2025 3:18,249,On-time,1383,Family,Economy,8.2,7,0,0
F1573,Brahmaputra Mail  ,5/18/2023 7:28,225,On-time,1138,Leisure,Economy,7.7,12,0,0
F1455,Sushasan Express  ,08-12-2024 03:59,158,On-time,1593,Leisure,Economy,7.4,3,0,0
F1310,NDLS–LKO AC SF Express  ,07-12-2024 11:55,224,On-time,1565,Leisure,Economy,6.4,13,0,1
F1236,Anand Vihar–Kamakhya Express  ,01-11-2025 11:30,235,On-time,589,Business,Economy,8.5,0,0,1
F1437,Katihar–Amritsar Express  ,04-07-2024 04:03,255,On-time,657,Business,Economy,7.9,12,0,0
F545,Ranikhet Express  ,10-05-2023 11:45,245,On-time,1505,Emergency,Economy,3.5,0,0,0
F1159,Purushottam Express  ,5/15/2024 15:58,223,On-time,1496,Emergency,Economy,5,14,0,1
F1529,Brahmaputra Mail  ,07-06-2024 17:01,168,On-time,1611,Business,Premium Economy,6,15,0,1
F1585,Kalindi Express  ,9/17/2023 20:49,208,On-time,1496,Business,Economy,6,7,0,0
F686,Farakka Express,07-09-2023 21:29,53,On-time,958,Family,Economy,9.5,18,0,0
F1473,Sushasan Express  ,12/27/2023 14:08,162,Delayed,1417,Leisure,Premium Economy,7.6,1,0,0
F1505,NDLS–LKO AC SF Express  ,8/26/2023 22:13,126,On-time,956,Leisure,Business,6.2,7,0,0
F1280,Anand Vihar–Kamakhya Express  ,5/28/2023 2:26,40,On-time,1439,Emergency,Economy,6.4,6,0,0
